Job Title,Company Name,Job Location,Job Description,Job Salary,Job Post,Job Link,Full Job Description
Remote Information Processing Clerk,Asap Systems,"Dayton, OH",Knowledge of data entry software and systems. Contribute to the development and implementation of data management policies and procedures.,$25 an hour,1h,https://www.simplyhired.com/job/vhFcU4SYlA5i8YbCU7x4kCrefR243WzYEQY6ceJEza03iJrZnTU3Gg,"We are seeking an organized and detail-oriented Information Processing Clerk to join our team. In this role, you will be responsible for ensuring accurate and timely processing of information and data. As an Information Processing Clerk, you will play a vital role in maintaining the integrity and security of our company's data. You will be responsible for entering, verifying, and updating information in our databases and systems. Additionally, you will assist in generating reports and analyzing data to support decision-making processes.


Responsibilities:

Accurately enter and update information in databases and systems.
Perform regular data quality checks and resolve any discrepancies or errors.
Monitor and maintain data integrity and security.
Assist in generating reports based on specified criteria.
Analyze data and provide insights and recommendations.
Collaborate with team members to ensure efficient and effective data processing.
Contribute to the development and implementation of data management policies and procedures.


Requirements:

High school diploma or equivalent.
Strong attention to detail and high level of accuracy.
Knowledge of data entry software and systems.
Excellent organizational, time management, and multitasking abilities.
Strong analytical and problem-solving skills.
Effective written and verbal communication skills."
Clinical Document Specialist,Talent Groups,Remote,"Collaborate closely with TMF specialists to guarantee the precision and timeliness of TMF filings for all GCS studies, especially in preparation for audits and…",Up to $60 an hour,22h,https://www.simplyhired.com/job/jz4Rh-0sY8z3TdkR_llmaAUAs-buZ7Y5472MmAwfblTcnYDqFhlNxA,"Ensure the accuracy and integrity of GCS study documents stored in both BOX and Sharepoint platforms through regular reviews and organization.Collaborate closely with CSMs to maintain operational documents for both ongoing and upcoming studies within GCS.Support CSMs in overseeing the review and approval processes for documents using DocuSign/Adobe e-Sign.Establish effective communication channels with internal Client departments and external vendors to secure and manage GCS study documents.Collaborate closely with TMF specialists to guarantee the precision and timeliness of TMF filings for all GCS studies, especially in preparation for audits and inspections.Aid CSMs in crafting and maintaining Storyboards by liaising with relevant departments and reviewing pertinent study documents and TrackWise reports.Serve as the primary contact for the transition of document storage from Client BOX to Client Partner BOX and OneDrive within GCS.Take charge of creating and managing GCS documents in Vault, the GMP environment, and offer support with purchase order requests via Smartsheet submissions and quote approvals in Coupa.Job Type: ContractPay: Up to $60.00 per hourExpected hours: 40 per weekSchedule:8 hour shiftWork Location: Remote"
Data Administration Clerk - In Office or Home,HPA Strategies,"Columbia, MO",High school diploma or equivalent; additional certification in data administration is a plus. Proven experience in data entry or administrative role.,$26 an hour,1h,https://www.simplyhired.com/job/N4FqCwKxOyENnb1t5uzXR3dXO90cY12tPBoUgBa3fQvPhuoxzo5wfA,"We are seeking a detail-oriented and highly organized individual to join our team as a Data Administration Clerk. In this role, you will play a crucial part in managing and maintaining accurate data records within our organization. The ideal candidate will have excellent attention to detail, strong organizational skills, and the ability to work efficiently in a fast-paced environment.
Responsibilities

Collecting and entering data into various databases and systems accurately and efficiently.
Verifying the accuracy and completeness of data entries on a regular basis.
Generating reports and preparing data analysis presentations for management.
Collaborating with team members to ensure the integrity and security of data.
Conducting regular audits to identify and resolve data discrepancies.
Organizing and maintaining physical and digital records in a systematic manner.
Assisting in data cleaning activities to improve data quality.
Assisting with data migration and system upgrades.
Keeping up-to-date with data protection regulations and best practices.

Requirements

High school diploma or equivalent; additional certification in data administration is a plus.
Proven experience in data entry or administrative role.
Proficient in using Microsoft Office Suite and data management software.
Strong attention to detail with excellent organizational skills.
Ability to work independently and meet deadlines.
Strong problem-solving and analytical skills.
Excellent verbal and written communication skills.
Ability to handle sensitive and confidential information with integrity.
Familiarity with data protection regulations such as GDPR is a plus.
Knowledge of data cleaning and quality improvement techniques.

Benefits

Competitive salary
Health insurance coverage
Retirement savings plan
Paid vacation and sick leave
Professional development opportunities"
Content Creator,Simply Earth,Remote,"In person or remote working options. You make a creative to sell one of your core products, see how it goes, and then make another one based on that data.",$17 - $35 an hour,21h,https://www.simplyhired.com/job/zzKusaF5LDWMCTQ5MRGhNQ1wiImBa6XEE9bEOJeF3ADWF122QgK31A,"Content CreatorHello and welcome, my name is Lee, co-founder of Simply Earth, where we are teaching people how to do use natural ingredients to make their own productsWe are seeking a content creator who is a clear communicator, loves to create content, and looks forward to small business values and culture.About Simply Earth exists to teach complete beginners how to make their own DIY products from natural ingredients.We are on a mission to help 1,000,000 people in the next 5 years unlock their talents and make their homes natural.About youYou love to teach. You can distill thoughts into ideas you can teach others those.You love creating content. You like to make that video funny or show things beautfifully, or you can image being trained and becoming good at it and love the idea of being good at something.You're dedicated to excellent work and go the extra mile to achieve it. Constantly striving to surpass your achievements, you're reliable for your team, just as they are for you.The roleCreating and refining the UGC creatives for our ads: Becoming the “internal influencer” for a certain product line. You make a creative to sell one of your core products, see how it goes, and then make another one based on that dataCreating and refining the content that goes out across marketing channels: As you teach people in a monthly content plan, you help refine what that creative would look likeInspire other team members to go a great job in their roles: Encourage and get the most out of the page builder, customer service rep, and more to really sell the products you create content for well⌚ WORKING NOTES & REQUIREMENTSIn person or remote working options20-30 hours per week.Preferred: Education degreePreferred: Has experience creating natural products using essential oilsSALARY AND BENEFITS:Experience dependent: $17/hr to $35/hrGrowth opportunitiesFlexible schedulingHow To ApplyFill out the form https://simplyearth.typeform.com/to/bjpQb3GpJob Types: Full-time, Part-timePay: $17.00 - $35.00 per hourExpected hours: 15 – 40 per weekBenefits:401(k) matchingEmployee discountFlexible schedulePaid time offParental leaveSchedule:Choose your own hoursMonday to FridayNo weekendsWork Location: Remote"
Creator Partnerships Assistant,DFTBA Records,Remote,"Monitor and manage email correspondence, responding to inquiries and requests regarding contracts, royalty reports and payments. Status: Full Time, Non-Exempt.",From $21 an hour,1d,https://www.simplyhired.com/job/sF1-E2G3aDvH9I3edw0XtilUBe66PX76FMOu57tVFGkvyTsy8fVQ-g,"Apply here:https://ats.rippling.com/dftba-jobs/jobs/f7b264cf-bd66-4130-b20f-c588b00319a1>>>Applications submitted via Indeed only will not be considered.<<<Creator Partnerships Assistant Job Overview:DFTBA is seeking an Assistant to add to our growing Creator Partnerships Team! The Creator Partnerships Assistant provides administrative and operational support to the Account Manager, ensuring smooth coordination of client needs while maintaining excellent communication with our Creator Partners. Under the direction of the Account Manager, they play a key role by assisting with contract administration, running reports, and communicating with clients regarding all business questions. The CP Assistant assists the entire CP team, including the General Manager, to ensure product launches are successful and our Creator Partners are well supported.More details about the position:Job Title: Creator Partnerships AssistantStatus: Full Time, Non-ExemptBenefits Provided: Health, dental and vision insurance, basic life insurance, paid vacation and sick time, 401k with company match, profit sharing.Reports to: Account ManagerLocation: Missoula, MT with the possibility of a hybrid work agreement OR RemoteStarting wage: $21/hourAbout DFTBA:DFTBA is an e-commerce enterprise that seeks to make a positive difference in our world. Our company's history - led by owners Hank and John Green -- is grounded in the online space and collaborating with content creators to craft, sell and deliver high-quality products for their communities and supporters. As we have grown, so has our ability to do good - through just one of our subscription services, we have proudly donated more than $7.5M over the past three years to Partners in Health to support their efforts to build the Maternal Center for Excellence in Sierra Leone. And we are continuing to grow, motivated, not by personal gain, but by our potential to do more good. We at DFTBA value creativity, problem-solving and, most of all, people. We are dedicated to attracting and investing in a diverse staff and welcome all experiences, perspectives and values that make you uniquely you.What you’ll do:Provide administrative support to the Account Manager.Assist in the coordination of client account meetings.Monitor and manage email correspondence, responding to inquiries and requests regarding contracts, royalty reports and payments.Assist in the preparation of reports, presentations and other materials for internal and external use.Maintain strong client relationships.The Ideal Candidate:Strong organizational skills with attention to detail.Excellent written and verbal communication skills.Adaptability and the ability to work in a fast-paced environment.Ability to work independently and as part of a team.Previous experience in an assistant or project management role is preferred but not required.Proficiency in using Microsoft Office Suite and Google Workspace.Knowledge of data analysis is a plus.Experience with e-commerce platforms such as AirTable and Netsuite is a plus.The desire to learn new skills!To learn more about DFTBA, visit our website: https://store.dftba.com/Hire contingent upon passing a background check.Job Type: Full-timePay: From $21.00 per hourExpected hours: 40 per weekBenefits:401(k)401(k) matchingDental insuranceHealth insuranceLife insurancePaid time offParental leaveVision insuranceSchedule:8 hour shiftWork Location: Remote"
Accessibility Testers,PSRTEK,Remote,"Excellent verbal and written communication. 5+ years of digital accessibility testing. Knowledge of Accessibility best practices and guidelines: ADA, WCAG,…","$70,771.85 - $149,101.58 a year",10d,https://www.simplyhired.com/job/QejAekQlLFcQjxCeoHSbY9jRnyhe-P7TRgCvajgXxspZ5vfVC2o1KQ,"Accessibility TestersSkills/ Qualifications required:Excellent verbal and written communication5+ years of digital accessibility testingKnowledge of Accessibility best practices and guidelines: ADA, WCAG, Section 508, etc.Experience in evaluating web, mobile, and desktop applications for accessibilityExperience with the following Assistive Technology:JAWSNVDAVoiceOverZoomTextPreferred Certifications:JAWSZoom Text CertifiedTrusted TesterCertified Professional in Accessibility Auditing (CPAA)Certified Professional in Accessibility Core Competencies (CPACC)Web Accessibility Specialist (WAS)Certified Professional in Web Accessibility (CPWA)Accessible Document Specialist (ADS)W3CxJob Types: Full-time, ContractPay: $70,771.85 - $149,101.58 per yearBenefits:401(k)Dental insuranceHealth insuranceWork Location: Remote"
Brand Designer,Modern Health,Remote,"Experience working with web developer to develop website pages. Design and development of marketing materials, including: website pages, presentations, print…","$80,600 - $94,800 a year",14h,https://www.simplyhired.com/job/zQ6putR8ToNIq7MGPnO0Be4Z9GNt4cEn8wPC6x59L1UA_1T-Fn2omA,"Modern Health

Modern Health is a mental health benefits platform for employers. We are the first global mental health solution to offer employees access to one-on-one, group, and self-serve digital resources for their emotional, professional, social, financial, and physical well-being needs—all within a single platform. Whether someone wants to proactively manage stress or treat depression, Modern Health guides people to the right care at the right time. We empower companies to help all their employees be the best version of themselves, and believe in meeting people wherever they are in their mental health journey.

We are a female-founded company backed by investors like Kleiner Perkins, Founders Fund, John Doerr, Y Combinator, and Battery Ventures. We partner with 500+ global companies like Lyft, Electronic Arts, Pixar, Clif Bar, Okta, and Udemy that are taking a proactive approach to mental health care for their employees. Modern Health has raised more than $170 million in less than two years with a valuation of $1.17 billion, making Modern Health the fastest entirely female-founded company in the U.S. to reach unicorn status.

We tripled our headcount in 2021 and as a hyper-growth company with a fully remote workforce, we prioritize our people-first culture (winning awards including Fortune's Best Workplaces in the Bay Area 2021). To protect our culture and help our team stay connected, we require overlapping hours for everyone. While many roles may function from anywhere in the world—see individual job listing for more—team members who live outside the Pacific time zone must be comfortable working early in the morning or late at night; all full-time employees must work at least six hours between 8 am and 5 pm Pacific time each workday.

We are looking for driven, creative, and passionate individuals to join in our mission. An inclusive and diverse culture are key components of mental well-being in the workplace, and that starts with how we build our own team. If you're excited about a role, we'd love to hear from you!
The Role

Are you an ambitious creative professional? Does joining a rapidly-growing tech company in the health and mental well-being space sound exciting? The Marketing team at Modern Health is hiring a Brand Designer to help build our brand identity as we expand, executing a wide range of projects including web content, email newsletters, videos, advertising, conference materials, sales presentations, one-sheeters and much more. You will be a key member of the Marketing team, collaborating across product, customer success, clinical care, and recruiting to build a cohesive elevated brand for Modern Health, and to ensure specific messages are being visually conveyed through your designs.

This position is not eligible to be performed in Hawaii.

What You'll Do
Manage project request intake and scope clarification
Design and development of marketing materials, including: website pages, presentations, print and digital advertising, conference materials, research reports, social media campaigns, one-sheeters, postcards, promotions, videos, webinars, and other marketing collateral
Collaborate with other marketing and product team members to ensure quality and consistency in all aspects of our brand presence
Provide status updates and juggle multiple projects—we're an agile team with shifting priorities
Become an informed and vocal advocate of great design at Modern Health
Who You Are
3+ years of design experience in a fast-paced, high-growth environment
MUST have an online portfolio of relevant work examples
Hands-on experience with Figma, Adobe Creative Suite including Photoshop, and llustrator
Use of MS Office and Google Docs and how those are used cross-functionally with Adobe CS
Experience working with web developer to develop website pages
Knowledge of how to prepare files for optimal online use and print, bleed areas, CMYK, Pantone, RGB, etc.
Understand the different pixel resolutions required for print and online
Experience working within existing brand guidelines and/or designing new brand guidelines
Must be highly detail oriented and self-motivated and able to prioritize your workload to meet critical deadlines
Able to work well independently, as well as under the direction of others
Coachable and values constructive criticism from a variety of sources
Excellent written and verbal communication skills
Curious, creative, flexible, proactive, and ambitious
Benefits

Fundamentals:

Medical / Dental / Vision / Disability / Life Insurance
High Deductible Health Plan with Health Savings Account (HSA) option
Flexible Spending Account (FSA)
Access to coaches and therapists through Modern Health's platform
Generous Time Off
Company-wide Collective Pause Days

Family Support:

Parental Leave Policy
Family Forming Benefit through Carrot
Family Assistance Benefit through UrbanSitter

Professional Development:

Professional Development Stipend

Financial Wellness:

401k
Financial Planning Benefit through Origin

But wait there's more…!

Annual Wellness Stipend to use on items that promote your overall well being
New Hire Stipend to help cover work-from-home setup costs
ModSquad Community: Virtual events like active ERGs, holiday themed activities, team-building events and more
Monthly Cell Phone Reimbursement
Below, we are asking you to complete identity information for the Equal Employment Opportunity Commission (EEOC). While we are required by law to ask these questions in the format provided by the EEOC, at Modern Health we know that gender is not binary, and we recognize that these categories do not reflect our employees' full range of identities."
Hospitality & Maintenance Opportunity for a couple,Alaska Remote Lodge,Remote,- Solid mechanical aptitude; boat operation skills a plus*. An Alaska remote lodge is seeking an adventurous couple with a passion for the great outdoors and a…,"From $6,000 a month",3d,https://www.simplyhired.com/job/YCXwnR4S_Qel-BTwTLpKPoS7kkRkjeQKuI-YF-dt5fWV4tVM1rwGQg,"**Adventure Awaits: Hospitality & Maintenance Opportunity for Couples****Location:** Remote lodge, where the wilderness beckons and adventure begins, nestled between the Yentna and Skwentna rivers, just 60 miles west of Anchorage, Alaska.**Compensation:**- **$6000.00 per month per couple** - **Plus 80% of tips**- **Includes housing, food, and travel**- **Limited internet access**- **On-site employment**- **10-month contract****Start Date:** Open until filledAn Alaska remote lodge is seeking an adventurous couple with a passion for the great outdoors and a knack for hospitality and maintenance. As one of the few roadhouses in the area, we offer a unique opportunity to live and work in a remote wilderness setting.**Qualifications:**- This position is for a couple, so please submit both resumes when you apply- Positive, cheery attitude- Experience in hospitality and general maintenance preferred- Ability to thrive in remote living conditions- Solid mechanical aptitude; boat operation skills a plus- Team player with excellent communication skills- Flexibility to work extended hours on some days (while other days may be quieter depending on the season)- Self-starters who can work independently with minimal supervision- Physically fit to handle various tasks, including lifting up to 50lbs**Responsibilities:**- Housekeeping- Dishwashing- Fuel pumping- Laundry- Wood cutting and hauling- Additional duties as assigned**Perks:**- Lodge housing (cabin/room) and all meals provided- Free transportation and laundry services while at the Roadhouse- Once-in-a-lifetime adventure in the Alaskan wilderness- Part-time/full-time opportunities with potential for full-time employmentOur remote lodge is only accessible by small plane, river boat, or snow machines in the winter, offering a truly unique living experience. Positions are available starting May 1st for the right individuals.**To Apply:**Please submit a current resume, job-related references, and a cover letter outlining your interest in joining our team. Do not call; applications will only be accepted through this ad.*Join us and embark on the adventure of a lifetime.**The Management*--- This version aims to highlight the unique adventure and opportunities offered by the position while providing clear information about the requirements and benefits.Job Types: Full-time, Part-time, TemporaryPay: From $6,000.00 per monthExperience:Facilities Maintenance Occupations: 1 year (Required)Hospitality: 1 year (Required)License/Certification:Driver's License (Preferred)Work Location: Remote"
Executive Assistant,"Arbor Platform, Inc.",Remote,"Screen and respond to emails, phone calls, and inquiries, handling them with professionalism and discretion. The primary objectives of this position will be to…",$20 - $30 an hour,15h,https://www.simplyhired.com/job/QDVjiFL7Nyo9NdHMIcBiIog5gl8p1SKqyMXfJxH1uN3EGcVidkMGdw,"About the Company Arbor is a public benefit startup company dedicated to bringing people together through storytelling. We help non-profits tell their impact stories on video so they can share their mission and raise more funding.At Arbor, we’re curious, experienced creative strategists and technology executives with a shared love of great stories and award-winning backgrounds in documentary filmmaking, movie scriptwriting, television production, and consumer marketing. Together we have developed a service and platform that combines the power of human connection with AI to capture, edit, and share stories at scale.Join us in shaping the future of impact storytelling!About the RoleAs an Executive Assistant, you will be a vital member of the team, providing high-level support to Arbor’s CEO. Your role will involve managing schedules, coordinating meetings, handling correspondence, and executing various administrative tasks. The primary objectives of this position will be to support the CEO with managing day-to-day tasks and activities, ensuring the CEO's time is optimized.Responsibilities:Calendar Management: Organize and manage complex calendars for the CEO, including scheduling meetings, appointments, and conferences. Prioritize conflicting demands and ensure timely attendance at important events.Communication: Serve as the primary point of contact for internal and external communications on behalf of the CEO. Screen and respond to emails, phone calls, and inquiries, handling them with professionalism and discretion.Correspondence: Draft, proofread, and edit correspondence, reports, presentations, and other documents, as needed. Ensure accuracy, clarity, and adherence to company standards in all communications.Administrative Support: Provide comprehensive administrative support to executives.Project Assistance: Assist the CEO in managing various projects by coordinating project timelines, tracking progress, and facilitating communication between team members. Prepare reports, presentations, and documentation, as needed.Relationship Management: Build and maintain positive working relationships with internal and external stakeholders, including customers, partners, vendors, and colleagues.Requirements Bachelor's degree preferred, or equivalent combination of education and experience.Proven experience as an executive assistant or similar role, preferably supporting C-level executives.Exceptional organizational and time management skills, with the ability to prioritize tasks and meet deadlines in a fast-paced environment.Excellent communication skills, both written and verbal, with a professional and courteous demeanor.Proficiency in office software applications, including GSuite (Google Calendar, Google Sheets, etc.).Experience working with a Project Management Tool (Jira, Monday.com, etc.) is a plus!Strong attention to detail.Flexibility and adaptability to changing priorities and requirements.This position offers an exciting opportunity for a motivated individual to work closely with our executive team and contribute to the overall success of our organization. If you possess the required skills and are looking for a dynamic role as an Executive Assistant, we encourage you to apply!We value equity, inclusion, belonging, and diversity at our company. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender identity, national origin, or any other applicable legally protected characteristic. Also - if you feel like you don't meet all the criteria above, please apply anyway! We don't want that to get in the way of meeting you.Job Type: Part-timePay: $20.00 - $30.00 per hourExpected hours: 5 – 20 per weekBenefits:401(k)Flexible scheduleSchedule:Monday to FridayWork Location: Remote"
Remote Information Entry Clerk,Asap Systems,"Frisco, TX",Proficient in using data entry software and tools. Collaborate with team members to improve data entry processes. Resolve discrepancies and errors in data.,$25 an hour,1h,https://www.simplyhired.com/job/-uTTjV6cJRfGBhUJxX_mqNbIRR1Gt-yYkeczezMVHLPmF7sSUwVfgg,"We are seeking an organized and detail-oriented individual to join our team as an Information Entry Clerk. In this role, you will be responsible for accurately inputting and maintaining critical data for our company. As an Information Entry Clerk, you will play a crucial role in ensuring that our data is accurately recorded and readily accessible. You will be responsible for managing and organizing various types of information. Additionally, you will work closely with other team members to resolve any discrepancies or errors in the data


Responsibilities:

Input and update data accurately and efficiently
Maintain and organize various types of information
Resolve discrepancies and errors in data
Conduct regular data audits to ensure integrity and accuracy
Collaborate with team members to improve data entry processes
Follow up with stakeholders to clarify incomplete or unclear data
Protect sensitive information by adhering to company policies and procedures


Requirements:

High school diploma or equivalent

Excellent typing skills
Strong attention to detail
Proficient in using data entry software and tools
Ability to prioritize tasks and meet deadlines
Strong problem-solving skills
Ability to work effectively both independently and in a team environment"
